,team1,team2,venue,toss_winner,toss_decision,winner
0,IU,QG,Dubai,QG,field,1
1,KK,LQ,Dubai,KK,field,0
2,PZ,IU,Dubai,PZ,bat,0
3,QG,KK,Dubai,QG,field,0
4,LQ,PZ,Dubai,PZ,field,1
5,IU,KK,Dubai,KK,field,0
6,QG,PZ,Dubai,QG,field,0
7,LQ,QG,Dubai,QG,field,0
8,IU,LQ,Sharjah,IU,field,0
9,KK,PZ,Sharjah,PZ,bat,1
10,IU,QG,Sharjah,QG,field,1
11,KK,LQ,Sharjah,LQ,field,0
12,IU,PZ,Sharjah,PZ,field,1
13,KK,QG,Sharjah,KK,bat,1
14,LQ,PZ,Sharjah,PZ,field,0
15,IU,KK,Sharjah,IU,field,0
16,QG,PZ,Sharjah,QG,bat,1
17,LQ,QG,Dubai,QG,field,1
18,KK,PZ,Dubai,KK,bat,1
19,IU,LQ,Dubai,IU,field,0
20,PZ,QG,Dubai,PZ,field,1
21,IU,KK,Dubai,IU,field,0
22,IU,PZ,Dubai,PZ,field,0
23,IU,QG,Dubai,IU,field,0
24,IU,PZ,Dubai,IU,field,0
25,LQ,QG,Dubai,LQ,field,1
26,KK,PZ,Dubai,PZ,field,1
27,IU,LQ,Dubai,LQ,field,1
28,KK,QG,Dubai,QG,field,1
29,LQ,PZ,Dubai,PZ,field,1
30,IU,QG,Sharjah,IU,field,0
31,KK,LQ,Sharjah,KK,field,1
32,IU,KK,Sharjah,KK,field,1
33,LQ,QG,Sharjah,QG,field,1
34,IU,PZ,Sharjah,IU,field,0
35,KK,PZ,Sharjah,PZ,field,0
36,IU,LQ,Sharjah,LQ,field,1
37,KK,QG,Dubai,QG,field,1
38,LQ,PZ,Dubai,PZ,bat,1
39,IU,QG,Dubai,QG,field,0
40,KK,LQ,Dubai,KK,field,0
41,PZ,QG,Dubai,PZ,field,0
42,IU,KK,Dubai,KK,field,1
43,PZ,QG,Sharjah,PZ,field,1
44,IU,KK,Sharjah,IU,field,1
45,KK,PZ,Dubai,KK,field,1
46,PZ,QG,Lahore,QG,field,0
47,PZ,MS,Dubai,MS,field,1
48,KK,QG,Dubai,KK,bat,0
49,MS,LQ,Dubai,LQ,field,0
50,IU,PZ,Dubai,IU,field,1
51,QG,LQ,Dubai,QG,field,0
52,MS,IU,Dubai,IU,field,1
53,KK,PZ,Dubai,PZ,bat,0
54,KK,LQ,Dubai,KK,bat,0
55,IU,QG,Sharjah,QG,field,1
56,QG,PZ,Sharjah,PZ,field,1
57,LQ,IU,Sharjah,LQ,field,1
58,MS,QG,Sharjah,MS,field,0
59,PZ,LQ,Sharjah,LQ,bat,0
60,IU,KK,Sharjah,IU,field,0
61,PZ,MS,Dubai,PZ,field,1
62,MS,QG,Dubai,QG,field,1
63,IU,LQ,Dubai,IU,field,0
64,KK,QG,Dubai,KK,field,1
65,MS,LQ,Dubai,MS,bat,1
66,PZ,IU,Dubai,PZ,field,1
67,MS,KK,Dubai,MS,field,1
68,PZ,QG,Dubai,QG,field,1
69,KK,LQ,Dubai,LQ,field,1
70,MS,IU,Sharjah,MS,field,1
71,QG,LQ,Sharjah,QG,field,1
72,PZ,KK,Sharjah,PZ,bat,0
73,QG,IU,Sharjah,QG,bat,1
74,PZ,LQ,Sharjah,LQ,bat,0
75,IU,KK,Sharjah,KK,field,1
76,IU,KK,Dubai,KK,bat,0
77,PZ,QG,Lahore,QG,field,0
78,KK,PZ,Lahore,KK,field,1
79,IU,PZ,Karachi,PZ,bat,0
