team1,team2,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,venue,toss_winner,toss_decision,winner
IU,QG,Shane Watson,Sharjeel Khan,Umar Amin,Babar Azam,Sam Billings,Misbah-ul-Haq,Imran Khalid,Andre Russell,Samuel Badree,Mohammad Irfan,Rumman Raees,Luke Wright,Ahmed Shehzad,Kevin Pietersen,Mohammad Nawaz,Sarfraz Ahmed,Anwar Ali,Umar Gul,Zulfiqar Babar,Elton Chigumbura,Mohammad Nabi,Akbar-ur-Rehman,Dubai,QG,field,QG
KK,LQ,Lendl Simmons,Nauman Anwar,James Vince,Shakib Al Hasan,Shoaib Malik,Ravi Bopara,Imad Wasim,Iftikhar Ahmed,Sohail Tanvir,Saifullah Bangash,Mohammad Amir,Chris Gayle,Azhar Ali,Cameron Delport,Sohaib Maqsood,Mohammad Rizwan,Dwayne Bravo,Zohaib Khan,Kevon Cooper,Naved Yasin,Zafar Gohar,Zia-ul-Haq,Dubai,KK,field,KK
PZ,IU,Tamim Iqbal,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Shahid Yousuf,Shahid Afridi,Darren Sammy,Wahab Riaz,Junaid Khan,Mohammad Asghar,Shaun Tait,Shane Watson,Sharjeel Khan,Babar Azam,Umar Amin,Misbah-ul-Haq,Sam Billings,Ashar Zaidi,Andre Russell,Imran Khalid,Saeed Ajmal,Rumman Raees,Dubai,PZ,bat,PZ
QG,KK,Luke Wright,Ahmed Shehzad,Kevin Pietersen,Sarfraz Ahmed,Elton Chigumbura,Mohammad Nabi,Mohammad Nawaz,Anwar Ali,Umar Gul,Zulfiqar Babar,Akbar-ur-Rehman,Lendl Simmons,Nauman Anwar,James Vince,Shakib Al Hasan,Shoaib Malik,Ravi Bopara,Imad Wasim,Sohail Tanvir,Iftikhar Ahmed,Saifullah Bangash,Mohammad Amir,Dubai,QG,field,QG
LQ,PZ,Chris Gayle,Azhar Ali,Cameron Delport,Mohammad Rizwan,Umar Akmal,Dwayne Bravo,Hammad Azam,Zohaib Khan,Adnan Rasool,Zia-ul-Haq,Ajantha Mendis,Tamim Iqbal,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Shahid Yousuf,Shahid Afridi,Darren Sammy,Wahab Riaz,Junaid Khan,Mohammad Asghar,Shaun Tait,Dubai,PZ,field,PZ
IU,KK,Shane Watson,Sharjeel Khan,Khalid Latif,Ashar Zaidi,Andre Russell,Misbah-ul-Haq,Sam Billings,Imran Khalid,Mohammad Sami,Saeed Ajmal,Rumman Raees,Lendl Simmons,James Vince,Imad Wasim,Shoaib Malik,Shakib Al Hasan,Iftikhar Ahmed,Ravi Bopara,Saifullah Bangash,Sohail Tanvir,Usama Mir,Mohammad Amir,Dubai,KK,field,IU
QG,PZ,Luke Wright,Ahmed Shehzad,Kevin Pietersen,Sarfraz Ahmed,Mohammad Nawaz,Akbar-ur-Rehman,Mohammad Nabi,Elton Chigumbura,Anwar Ali,Umar Gul,Zulfiqar Babar,Tamim Iqbal,Mohammad Hafeez,Dawid Malan,Kamran Akmal,Shahid Yousuf,Shahid Afridi,Darren Sammy,Wahab Riaz,Junaid Khan,Mohammad Asghar,Shaun Tait,Dubai,QG,field,QG
LQ,QG,Azhar Ali,Cameron Delport,Umar Akmal,Dwayne Bravo,Hammad Azam,Mohammad Rizwan,Naved Yasin,Zohaib Khan,Kevon Cooper,Ajantha Mendis,Zafar Gohar,Luke Wright,Ahmed Shehzad,Kevin Pietersen,Mohammad Nawaz,Sarfraz Ahmed,Mohammad Nabi,Elton Chigumbura,Akbar-ur-Rehman,Anwar Ali,Umar Gul,Zulfiqar Babar,Dubai,QG,field,LQ
IU,LQ,Shane Watson,Sharjeel Khan,Andre Russell,Brad Haddin,Kamran Ghulam,Sam Billings,Imran Khalid,Khalid Latif,Mohammad Sami,Rumman Raees,Saeed Ajmal,Azhar Ali,Cameron Delport,Naved Yasin,Umar Akmal,Dwayne Bravo,Mohammad Rizwan,Kevon Cooper,Zohaib Khan,Zafar Gohar,Ehsan Adil,Ajantha Mendis,Sharjah,IU,field,IU
KK,PZ,Lendl Simmons,Nauman Anwar,James Vince,Imad Wasim,Shoaib Malik,Shakib Al Hasan,Ravi Bopara,Sohail Tanvir,Usama Mir,Saifullah Bangash,Mohammad Amir,Tamim Iqbal,Mohammad Hafeez,Kamran Akmal,Dawid Malan,Shahid Afridi,Darren Sammy,Shahid Yousuf,Wahab Riaz,Aamer Yamin,Mohammad Asghar,Shaun Tait,Sharjah,PZ,bat,PZ
