team1,team2,team1_bt_avr,team1_bt_strk,team1_bl_avr,team1_bl_ecn,team1_bl_strk,team2_bt_avr,team2_bt_strk,team2_bl_avr,team2_bl_ecn,team2_bl_strk,venue,toss_winner,toss_decision,winner
IU,QG,235.15,1135.8000000000002,143.21,37.85,112.9,204.70000000000005,1359.2599999999998,251.32,81.91,184.9,Dubai,QG,field,QG
KK,LQ,195.13000000000002,1244.18,171.04999999999998,57.47,146.10000000000002,277.61999999999995,1334.92,236.07,84.03,176.1,Dubai,KK,field,KK
PZ,IU,188.37999999999997,1258.8899999999999,205.65,66.94,152.3,229.68,1288.86,142.69,39.940000000000005,105.30000000000001,Dubai,PZ,bat,PZ
QG,KK,184.4,1318.93,242.52999999999994,81.92999999999999,177.5,183.61,1124.67,144.13,50.29,123.70000000000002,Dubai,QG,field,QG
LQ,PZ,217.16000000000003,1212.87,109.19000000000001,36.18,89.5,188.37999999999997,1258.8899999999999,205.65,66.94,152.3,Dubai,PZ,field,PZ
IU,KK,207.11,1181.58,124.79,39.2,94.6,205.57000000000005,1182.8700000000001,195.23000000000005,64.68,166.20000000000002,Dubai,KK,field,IU
QG,PZ,190.9,1283.93,255.45,81.61999999999999,189.49999999999997,188.37999999999997,1258.8899999999999,205.65,66.94,152.3,Dubai,QG,field,QG
LQ,QG,143.89999999999998,969.03,99.16000000000001,36.14,80.80000000000001,204.32000000000002,1362.0100000000002,253.8,84.1,181.7,Dubai,QG,field,LQ
IU,LQ,182.98999999999998,1196.9299999999998,124.79,39.2,94.60000000000001,166.87999999999997,1089.99,96.17,33.99,83.80000000000001,Sharjah,IU,field,IU
KK,PZ,206.65000000000003,1363.69,197.97,64.65,168.50000000000003,184.63999999999996,1636.74,209.01,69.08999999999999,168.7,Sharjah,PZ,bat,PZ
IU,QG,157.58,1194.6799999999998,139.97,38.04,109.3,170.85999999999999,1179.0000000000002,230.16,79.62,172.59999999999997,Sharjah,QG,field,QG
KK,LQ,184.88,1370.06,191.10999999999999,57.879999999999995,158.6,203.69000000000005,1222.73,72.60000000000001,22.64,57.4,Sharjah,LQ,field,KK
IU,PZ,223.58,1153.81,145.86,45.370000000000005,115.0,160.57999999999998,1221.6999999999998,201.65,60.09,161.0,Sharjah,PZ,field,PZ
KK,QG,185.56,1401.1599999999999,184.44,56.769999999999996,156.2,170.86,1179.0,230.15999999999997,79.62,172.6,Sharjah,KK,bat,QG
LQ,PZ,224.00999999999996,1108.93,87.10000000000001,29.46,70.1,185.29999999999998,1289.26,230.09,73.57000000000001,174.39999999999998,Sharjah,PZ,field,LQ
IU,KK,232.73,1128.42,124.38000000000001,37.53,99.29999999999998,170.10000000000002,1194.65,177.23,57.18000000000001,148.8,Sharjah,IU,field,IU
QG,PZ,209.47,1250.6599999999999,128.37,54.809999999999995,103.39999999999999,196.01000000000002,1276.36,291.65,84.14,212.3,Sharjah,QG,bat,PZ
LQ,QG,254.92999999999995,1244.51,129.12,39.56,97.4,210.11,1264.55,191.39,64.42999999999999,142.7,Dubai,QG,field,QG
KK,PZ,148.88000000000002,1199.72,221.75999999999996,71.44000000000001,166.5,231.51999999999998,1453.0800000000002,281.45,86.8,202.20000000000002,Dubai,KK,bat,PZ
IU,LQ,214.25000000000003,1169.19,127.03999999999999,36.55,103.2,117.50999999999999,851.1099999999998,181.39999999999998,69.22000000000001,149.20000000000002,Dubai,IU,field,IU
PZ,QG,197.61999999999998,1430.86,208.04999999999998,61.040000000000006,162.89999999999998,177.23999999999998,1095.22,207.78,71.18,157.2,Dubai,PZ,field,QG
IU,KK,222.13,1216.7900000000002,176.01,49.08,129.1,177.15,1110.5800000000002,194.55999999999997,75.84,159.1,Dubai,IU,field,IU
IU,PZ,211.41,1141.6100000000001,160.76,46.10000000000001,125.7,219.79,1486.12,259.49,81.17,197.0,Dubai,PZ,field,IU
IU,QG,211.41,1141.6100000000001,160.76,46.10000000000001,125.7,195.48999999999998,1091.8899999999999,205.17000000000002,72.19999999999999,153.29999999999998,Dubai,IU,field,IU
IU,PZ,243.78000000000003,1208.7,124.85,38.620000000000005,97.19999999999999,200.84999999999997,1275.58,180.70999999999998,59.89,131.79999999999998,Dubai,IU,field,IU
