team1,team2,venue,toss_winner,toss_decision,winner
IU,QG,Dubai,QG,field,QG
KK,LQ,Dubai,KK,field,KK
PZ,IU,Dubai,PZ,bat,PZ
QG,KK,Dubai,QG,field,QG
LQ,PZ,Dubai,PZ,field,PZ
IU,KK,Dubai,KK,field,IU
QG,PZ,Dubai,QG,field,QG
LQ,QG,Dubai,QG,field,LQ
IU,LQ,Sharjah,IU,field,IU
KK,PZ,Sharjah,PZ,bat,PZ
IU,QG,Sharjah,QG,field,QG
KK,LQ,Sharjah,LQ,field,KK
IU,PZ,Sharjah,PZ,field,PZ
KK,QG,Sharjah,KK,bat,QG
LQ,PZ,Sharjah,PZ,field,LQ
IU,KK,Sharjah,IU,field,IU
QG,PZ,Sharjah,QG,bat,PZ
LQ,QG,Dubai,QG,field,QG
KK,PZ,Dubai,KK,bat,PZ
IU,LQ,Dubai,IU,field,IU
PZ,QG,Dubai,PZ,field,QG
IU,KK,Dubai,IU,field,IU
IU,PZ,Dubai,PZ,field,IU
IU,QG,Dubai,IU,field,IU
IU,PZ,Dubai,IU,field,IU
LQ,QG,Dubai,LQ,field,QG
KK,PZ,Dubai,PZ,field,PZ
IU,LQ,Dubai,LQ,field,LQ
KK,QG,Dubai,QG,field,QG
LQ,PZ,Dubai,PZ,field,PZ
IU,QG,Sharjah,IU,field,IU
KK,LQ,Sharjah,KK,field,LQ
IU,KK,Sharjah,KK,field,KK
LQ,QG,Sharjah,QG,field,QG
IU,PZ,Sharjah,IU,field,IU
KK,PZ,Sharjah,PZ,field,KK
IU,LQ,Sharjah,LQ,field,LQ
KK,QG,Dubai,QG,field,QG
LQ,PZ,Dubai,PZ,bat,PZ
IU,QG,Dubai,QG,field,IU
KK,LQ,Dubai,KK,field,KK
PZ,QG,Dubai,PZ,field,PZ
IU,KK,Dubai,KK,field,KK
PZ,QG,Sharjah,PZ,field,QG
IU,KK,Sharjah,IU,field,KK
KK,PZ,Dubai,KK,field,PZ
